@relation InstanceResultListener

@attribute Key_Dataset {fertility,banknote,heart_data,mushroom_toxicity,sensor_readings}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.lazy.IBk,weka.classifiers.trees.J48,weka.classifiers.functions.SMO,weka.classifiers.functions.Logistic}
@attribute Key_Scheme_options {'','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 11 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 0.25 -M 2','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-R 1.0E-8 -M -1 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {5995231201785697655,-3080186098777067172,-217733168393644444,-6585883636378691736,3932117032546553727}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 22\nSize of the tree: 32\n','Number of leaves: 26\nSize of the tree: 42\n','Number of leaves: 24\nSize of the tree: 35\n','Number of leaves: 25\nSize of the tree: 38\n','Number of leaves: 24\nSize of the tree: 36\n','Number of leaves: 32\nSize of the tree: 48\n','Number of leaves: 20\nSize of the tree: 34\n','Number of leaves: 24\nSize of the tree: 39\n','Number of leaves: 20\nSize of the tree: 32\n','Number of leaves: 35\nSize of the tree: 54\n','Number of leaves: 31\nSize of the tree: 47\n','Number of leaves: 18\nSize of the tree: 31\n','Number of leaves: 27\nSize of the tree: 42\n','Number of leaves: 22\nSize of the tree: 35\n','Number of leaves: 18\nSize of the tree: 27\n','Number of leaves: 28\nSize of the tree: 43\n','Number of leaves: 21\nSize of the tree: 31\n','Number of leaves: 23\nSize of the tree: 34\n','Number of leaves: 30\nSize of the tree: 44\n','Number of leaves: 36\nSize of the tree: 56\n','Number of leaves: 27\nSize of the tree: 41\n','Number of leaves: 29\nSize of the tree: 44\n','Number of leaves: 23\nSize of the tree: 36\n','Number of leaves: 30\nSize of the tree: 45\n','Number of leaves: 19\nSize of the tree: 29\n','Number of leaves: 17\nSize of the tree: 26\n','Number of leaves: 24\nSize of the tree: 37\n','Number of leaves: 21\nSize of the tree: 32\n','Number of leaves: 21\nSize of the tree: 33\n','Number of leaves: 29\nSize of the tree: 46\n','Number of leaves: 17\nSize of the tree: 25\n','Number of leaves: 30\nSize of the tree: 47\n','Number of leaves: 26\nSize of the tree: 40\n','Number of leaves: 20\nSize of the tree: 33\n','Number of leaves: 31\nSize of the tree: 48\n','Number of leaves: 27\nSize of the tree: 40\n','Number of leaves: 15\nSize of the tree: 23\n','Number of leaves: 27\nSize of the tree: 43\n','Number of leaves: 17\nSize of the tree: 28\n','Number of leaves: 18\nSize of the tree: 28\n','Number of leaves: 19\nSize of the tree: 28\n','Number of leaves: 33\nSize of the tree: 51\n','Number of leaves: 20\nSize of the tree: 31\n','Number of leaves: 18\nSize of the tree: 29\n','Number of leaves: 21\nSize of the tree: 34\n','Number of leaves: 28\nSize of the tree: 47\n','Number of leaves: 19\nSize of the tree: 30\n','Number of leaves: 23\nSize of the tree: 37\n','Number of leaves: 23\nSize of the tree: 35\n','Number of leaves: 33\nSize of the tree: 48\n','Number of leaves: 26\nSize of the tree: 39\n','Number of leaves: 19\nSize of the tree: 31\n','Number of leaves: 25\nSize of the tree: 42\n','Number of leaves: 36\nSize of the tree: 55\n','Number of leaves: 30\nSize of the tree: 49\n','Number of leaves: 25\nSize of the tree: 37\n','Number of leaves: 26\nSize of the tree: 45\n','Number of leaves: 16\nSize of the tree: 25\n','Number of leaves: 28\nSize of the tree: 45\n','Number of leaves: 27\nSize of the tree: 44\n','Number of leaves: 15\nSize of the tree: 24\n','Number of leaves: 25\nSize of the tree: 30\n','Number of leaves: 22\nSize of the tree: 27\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 27\nSize of the tree: 53\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

fertility,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.197954,0.324305,96.871032,107.549733,4.753304,4.932975,-0.179671,0.47533,0.493298,-0.017967,-1.656043,-0.165604,-296.447473,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,0.666667,0.962654,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,0.666667,0.891389,0.473684,0.9,0,0,0.000072,0.000037,0.072,0.037,3865,11629,2909,100,85,?,?,?,?
fertility,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.232408,0.328302,113.731645,108.875248,4.753304,5.02882,-0.275516,0.47533,0.502882,-0.027552,-3.955297,-0.39553,-708.035934,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,0.444444,0.928263,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,0.444444,0.852103,0.473684,0.9,0,0,0.000064,0.000034,0.064,0.034,3865,11629,2909,100,85,?,?,?,?
fertility,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.189236,0.323827,92.604689,107.391117,4.753304,5.821511,-1.068207,0.47533,0.582151,-0.106821,-1.158632,-0.115863,-207.406224,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,0.333333,0.906041,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,0.333333,0.829722,0.473684,0.9,0,0,0.000054,0.000056,0.054,0.056,3865,11629,2909,90,80,?,?,?,?
fertility,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.15781,0.259487,77.225935,86.054037,4.753304,3.176947,1.576357,0.47533,0.317695,0.157636,0.40997,0.040997,73.388506,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,0.888889,0.988889,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,0.888889,0.94,0.473684,0.9,0,0,0.000069,0.000031,0.069,0.031,3865,11629,2909,100,80,?,?,?,?
fertility,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,8,2,0,80,20,0,-0.111111,0.188116,0.356867,92.056617,118.348355,4.753304,9.310217,-4.556913,0.47533,0.931022,-0.455691,-1.103492,-0.110349,-197.535624,0.888889,8,1,1,0,0,0.111111,1,0.888889,0.888889,0.888889,-0.111111,0,0.78567,0.8,0.911111,0.088889,0.2,0.8,0.8,0.8,-0.111111,0,0.717103,0.444444,0.8,0,0,0.000072,0.000045,0.072,0.045,3865,11629,2909,90,70,?,?,?,?
fertility,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.146572,0.307943,71.726681,102.12348,4.753304,5.071503,-0.318199,0.47533,0.50715,-0.03182,0.905792,0.090579,162.14547,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,0.555556,0.946781,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,0.555556,0.872103,0.473684,0.9,0,0,0.000055,0.000033,0.055,0.033,3865,11629,2909,100,75,?,?,?,?
fertility,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.230042,0.357952,112.57351,118.707935,4.753304,8.029277,-3.275973,0.47533,0.802928,-0.327597,-3.452651,-0.345265,-618.05759,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,0.222222,0.878263,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,0.222222,0.802937,0.473684,0.9,0,0,0.000055,0.000033,0.055,0.033,3865,11629,2909,90,80,?,?,?,?
fertility,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.199238,0.244596,97.499682,81.115514,4.753304,3.507796,1.245508,0.47533,0.35078,0.124551,-1.221426,-0.122143,-218.647013,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,1,1,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,1,1,0.473684,0.9,0,0,0.00006,0.000034,0.06,0.034,3865,11629,2909,100,100,?,?,?,?
fertility,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,8,2,0,80,20,0,0,0.227985,0.45007,83.898568,110.3093,7.597956,32.164609,-24.566653,0.759796,3.216461,-2.456665,0.67832,0.067832,128.442956,1,8,1,2,0,0,0,0,0.8,1,0.888889,0,0.1875,0.746925,0.8,0.8,0.2,0.2,0.64,0.8,0.711111,0,0.1875,0.634048,0.444444,0.8,0,0,0.000055,0.000033,0.055,0.033,3865,11629,2909,80,65,?,?,?,?
fertility,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,8,2,0,80,20,0,0,0.258417,0.383242,95.097423,93.930229,7.597956,6.149083,1.448874,0.759796,0.614908,0.144887,-0.627587,-0.062759,-118.836501,1,8,1,2,0,0,0,0,0.8,1,0.888889,0,0.875,0.975,0.8,0.8,0.2,0.2,0.64,0.8,0.711111,0,0.875,0.896667,0.444444,0.8,0,0,0.000056,0.000032,0.056,0.032,3865,11629,2909,100,90,?,?,?,?
fertility,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.218664,0.302503,107.005743,100.319491,4.753304,4.408699,0.344605,0.47533,0.44087,0.03446,-2.407098,-0.24071,-430.893593,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,0.666667,0.962654,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,0.666667,0.891389,0.473684,0.9,0,0,0.000065,0.000034,0.065,0.034,3865,11629,2909,100,90,?,?,?,?
fertility,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.232866,0.331608,113.955731,109.971577,4.753304,5.4862,-0.732896,0.47533,0.54862,-0.07329,-3.030216,-0.303022,-542.437632,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,0.333333,0.906041,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,0.333333,0.829722,0.473684,0.9,0.001,0,0.000059,0.00003,0.059,0.03,3865,11629,2909,100,95,?,?,?,?
fertility,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.198335,0.327241,97.057593,108.523161,4.753304,5.628957,-0.875653,0.47533,0.562896,-0.087565,-1.778632,-0.177863,-318.392125,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,0.333333,0.906041,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,0.333333,0.829722,0.473684,0.9,0,0,0.000054,0.00003,0.054,0.03,3865,11629,2909,100,85,?,?,?,?
fertility,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170918.1256,90,10,9,1,0,90,10,0,0,0.161619,0.246531,79.089983,81.757282,4.753304,3.039967,1.713337,0.47533,0.303997,0.171334,0.203669,0.020367,36.458746,1,9,1,1,0,0,0,0,0.9,1,0.947368,0,0.888889,0.988889,0.9,0.9,0.1,0.1,0.81,0.9,0.852632,0,0.888889,0.94,0.473684,0.9,0,0,0.000051,0.000028,0.051,0.028,3865,11629,2909,100,90,?,?,?,?
